CALUMNO,CICLO_ACTUAL,DMODALIDADINGRESO,DBECA_ESTADO,NACIMIENTO_CDEPARTAMENTO,FLAG_SITUACIONLAB,DCAT_PAGO,PDESCUENTO_MAT,MONTO_MAT,MONTO_CUOTA,NCUMOROSO_PERIODO,MONTO_CUMOROSO3,RECORDSEGMENTO,NCURSO_RETIRADO_ACUM,NCURSO_DESAPROBADO,NCURSO_MATRICULA_ACUM,NPROMEDIO_ACUM,NFALTAS,COLEGIO_ESCALA,COLEGIO_PENSION,EE_TIPO,MONTO_DEUDA_ALCIERRE,RIESGO_INASISTENCIA,PDESCUENTO_CUOTA,PREDICHO
932739,3,Exonerado,,,SI,CATEGORIA B,0.0,295.0,1586.0,0,,,2,0,35,,534.0, ,,Otros,,SIN RIESGO,0.0,0.0003402111227886676
1338046,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,300.0,Militar,,SIN RIESGO,0.0,0.0
1337000,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,200.0,Particular,,SIN RIESGO,0.0,0.0
1337155,0,Sistema de Progresión Universitaria,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,400.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337409,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,450.0,Particular Laico,,SIN RIESGO,0.0,0.0
1342259,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,5,0.0,42.0,B,495.0,Particular Religioso,,SIN RIESGO,0.0,0.020103147209522877
1336997,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,330.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337034,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,310.0,Parroquial,,SIN RIESGO,0.0,0.0
1337015,1,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,950.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337092,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,,A,220.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1336689,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,420.0,Particular Laico,,SIN RIESGO,0.0,0.0
1339855,0,Sistema de Progresión Universitaria,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,385.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336980,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,,B,470.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337493,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1787.0,0,,,0,0,0,,1.0,A,360.0,Particular Religioso,,SIN RIESGO,0.0,0.036860515444645345
1337040,0,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,235.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1337096,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,400.0,Particular,,SIN RIESGO,0.0,0.0
1337085,0,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,360.0,Particular,,SIN RIESGO,0.0,0.0
1347854,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,1,0,6,0.0,51.0,B,950.0,Particular Laico,,RIESGO ALTO,0.0,0.0
1345435,1,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,3898.0,MEDIA INFERIOR,1,2,5,11.0,88.0,B,600.0,Particular,,RIESGO POTENCIAL,0.0,0.0
1350909,0,Sistema de Progresión Universitaria,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,349.0,Otros,,SIN RIESGO,0.0,0.0
1341462,0,Sistema de Progresión Universitaria,,,NO,CATEGORIA B,0.0,295.0,1822.0,0,,,1,0,8,0.0,63.0,A,385.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1337043,0,Tercio Superior,,,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,470.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1338361,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,A,420.0,Particular Laico,,SIN RIESGO,0.0,0.0
1336688,1,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,0.0,Estatal,,SIN RIESGO,0.0,0.0047039698091041506
1337022,0,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,,B,385.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1336051,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,25.0,Particular Laico,,SIN RIESGO,0.0,0.0
1341015,0,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,7,0.0,26.0,A,260.0,Parroquial,,SIN RIESGO,0.0,0.0
1337016,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,325.0,Pre Universitario,,SIN RIESGO,0.0,0.0
1340803,0,Regular,,15.0,SI,CATEGORIA D,0.0,295.0,2229.0,0,,,0,0,0,,,A,270.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1340840,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,220.0,Particular Laico,,SIN RIESGO,0.0,0.0
1337007,0,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,2166.0,0,,,0,0,0,,,B,655.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1340949,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1619.0,0,,,0,0,0,,, ,,Otros,,SIN RIESGO,0.0,0.009684497753796652
1340739,0,Regular,,12.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,2,0.0,10.0,A,,Estatal,,SIN RIESGO,0.0,0.1534045389008505
1340644,1,Traslado - Egresado,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,, ,,Particular,,SIN RIESGO,0.0,0.0055171567217466005
1340719,0,Regular,,11.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,,,A,,Estatal,,SIN RIESGO,0.0,0.01822603085312866
1339348,0,Rendimiento Superior,,,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,1,0,7,0.0,51.0,A,300.0,Particular,,RIESGO ALTO,0.0,0.0958826902375356
1339679,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1454.0,0,,,0,0,0,0.0,,A,330.0,Pre Universitario,,SIN RIESGO,0.0,0.0
